Challenge,Cartographer,Map,Links,Area,City,Topics,Types,Tools
**23** ^Boundaries^,**@Neil_py_harris** ^Neil Harris^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/Neil_py_harris_23.png),[tweet](https://twitter.com/Neil_py_harris/status/1330819775296049152) ,,,,,
**02** ^Lines^,**@afrimapr** ^afrimapr^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/afrimapr_02.jpg),[tweet](https://twitter.com/afrimapr/status/1323308498441195526) ,,,,,
**05** ^Blue^,**@zentree** ^Luis Apiolaza^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/zentree_05.jpg),[tweet](https://twitter.com/zentree/status/1324503978860638209) ,New Zealand,,,,QGIS
**16** ^Islands^,**@MikeCoatsDotCom** ^Mike Coats^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/MikeCoatsDotCom_16.jpg),[tweet](https://twitter.com/MikeCoatsDotCom/status/1328419798158630915) ,,,,,
**10** ^Grid^,**@JulesGrandin** ^Jules Grandin^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/JulesGrandin_10.jpg),[tweet](https://twitter.com/JulesGrandin/status/1326092231590125568) ,,,,,
**12** ^Non-GIS^,**@BlackburnStat** ^Alex Blackburn^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/BlackburnStat_12.png),[tweet](https://twitter.com/BlackburnStat/status/1326864140355428352) ,,,,,
**03** ^Polygons^,**@kennethfield** ^Kenneth Field^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/kennethfield_03.jpg),[tweet](https://twitter.com/kennethfield/status/1323535635638964225) ,,,,,
**02** ^Lines^,**@mc17murali** ^MURALI BALAJI^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/mc17murali_02.jpg),[tweet](https://twitter.com/mc17murali/status/1323473155948646400) ,,,,,
**01** ^Points^,**@jpablovallejog** ^Juanpa Vallejo^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/jpablovallejog_01.jpg),[tweet](https://twitter.com/jpablovallejog/status/1323142180039524354) ,,,,,QGIS
**19** ^NULL^,**@MapsByAntonia** ^Antonia Blankenberg^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/MapsByAntonia_19.jpg),[tweet](https://twitter.com/MapsByAntonia/status/1329378203853598723) ,,,,,
**13** ^Raster^,**@BZgeo** ^🇧🇿 Belize GEO 🛰️^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/BZgeo_13.jpg),[tweet](https://twitter.com/BZgeo/status/1327258594220384256) ,,,,,
