Challenge,Cartographer,Map,Links,Area,City,Topics,Types,Tools
**08** ^Yellow^,**@MikeMahoney218** ^Mike Mahoney^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/MikeMahoney218_08.jpg),[tweet](https://twitter.com/MikeMahoney218/status/1325440688255766530) ,USA,Syracuse,,,QGIS
**06** ^Red^,**@samwise_v** ^Sam J^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/samwise_v_06.jpg),[tweet](https://twitter.com/samwise_v/status/1324690307812937735) ,UK,London,,,
**30** ^A map^,**@odilon72** ^Agnès Stienne^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/odilon72_30.jpg),[tweet](https://twitter.com/odilon72/status/1333332838901567488) ,World,,,uncommon projections,
**02** ^Lines^,**@ShijiaWendy** ^Wendy Shijia^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/ShijiaWendy_02.jpg),[tweet](https://twitter.com/ShijiaWendy/status/1329384871882489857) ,,,,,
**07** ^Green^,**@Yakus** ^Matt Travis^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/Yakus_07.jpg),[tweet](https://twitter.com/Yakus/status/1325120893694185480) ,UK,,,,QGIS
**21** ^Water^,**@Thoughtfulnz** ^David Hood^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/Thoughtfulnz_21.png),[tweet](https://twitter.com/Thoughtfulnz/status/1330069742099554304) ,Oceania,,administrative boundaries,,
**30** ^A map^,**@pheebely** ^Phoebe L.^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/pheebely_30.jpg),[tweet](https://twitter.com/pheebely/status/1333641459124346880) ,World,,,uncommon projections,QGIS
**04** ^Hexagons^,**@nwbort** ^Nick Twort^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/nwbort_04.jpg),[tweet](https://twitter.com/nwbort/status/1323750863974789120) [web](https://cardioid.co.nz/30dmc/04/),Australia,Sydney,entertainment,,"R, Leaflet"
**05** ^Blue^,**@Zelbe04** ^Zelbé Boshoff^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/Zelbe04_05.jpg),[tweet](https://twitter.com/Zelbe04/status/1324257068749119488) ,World,,flags,,
**11** ^3D^,**@zinnie__A** ^Zainab Adamu^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/zinnie__A_11.jpg),[tweet](https://twitter.com/zinnie__A/status/1326587944430415874) ,Nigeria,Calabar,tourism,,QGIS
**15** ^Connections^,**@Kenneth_KHW** ^Kenneth Wong^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/Kenneth_KHW_15.jpg),[tweet](https://twitter.com/Kenneth_KHW/status/1328058338182008833) ,,,,,"R, ArcGIS"
**20** ^Population^,**@kennethfield** ^Kenneth Field^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/kennethfield_20.jpg),[tweet](https://twitter.com/kennethfield/status/1329696229337358336) ,,,,,
**20** ^Population^,**@pheebely** ^Phoebe L.^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/pheebely_20.jpg),[tweet](https://twitter.com/pheebely/status/1330050061544415232) ,,,,,QGIS
**28** ^Non-geographic^,**@azolnai** ^Andrew Zolnai^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/azolnai_28.jpg),[tweet](https://twitter.com/azolnai/status/1332670729893130240) ,,,,,
**19** ^NULL^,**@burdGIS** ^Oliver Burdekin^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/burdGIS_19.jpg),[tweet](https://twitter.com/burdGIS/status/1329401203906801665) ,,,,,QGIS
**20** ^Population^,**@chartbearx** ^ChartBear^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/chartbearx_20.jpg),[tweet](https://twitter.com/chartbearx/status/1329716926831071239) ,,,,,Python
**25** ^COVID-19^,**@darwinanddavis** ^Matt Malishev^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/darwinanddavis_25.jpg),[tweet](https://twitter.com/darwinanddavis/status/1331886065334927360) [web](https://darwinanddavis.github.io/DataPortfolio/30daymapchallenge/#day-25-covid19),World,,COVID-19,interactive,"R, Leaflet"
**01** ^Points^,**@pokateo_** ^Kate Berg^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/pokateo__01.jpg),[tweet](https://twitter.com/pokateo_/status/1322932159452225536) ,,,,,ArcGIS
**12** ^Non-GIS^,**@SannaJokela1** ^Sanna Jokela^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/SannaJokela1_12.jpg),[tweet](https://twitter.com/SannaJokela1/status/1326771958931918853) ,,,,,
**02** ^Lines^,**@EnriquePablito** ^Quique Montiel^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/EnriquePablito_02.jpg),[tweet](https://twitter.com/EnriquePablito/status/1323847918969933826) ,,,,,QGIS
**30** ^A map^,**@_DataLoy** ^DataLoy^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/_DataLoy_30.jpg),[tweet](https://twitter.com/_DataLoy/status/1327310073316610050) ,Egypt,,,,
**10** ^Grid^,**@geologyjesse** ^Jesse Pisel^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/geologyjesse_10.jpg),[tweet](https://twitter.com/geologyjesse/status/1326191888156688385) ,,,,,
**04** ^Hexagons^,**@erin_caughey** ^Erin Caughey^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/erin_caughey_04.jpg),[tweet](https://twitter.com/erin_caughey/status/1326281502771048454) ,,,,,
**14** ^Climate change^,**@DVDMaps** ^David McCutcheon^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/DVDMaps_14.jpg),[tweet](https://twitter.com/DVDMaps/status/1327556858882760704) ,Antarctica,,,,
**05** ^Blue^,**@geokaramanis** ^Georgios Karamanis^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/geokaramanis_05.jpg),[tweet](https://twitter.com/geokaramanis/status/1324727048510865414) ,,,,,R
**30** ^A map^,**@hurricanevicky** ^Vicky Johnson-Dahl^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/hurricanevicky_30.jpg),[tweet](https://twitter.com/hurricanevicky/status/1333574101223477249) ,,,,,
**19** ^NULL^,**@Yakus** ^Matt Travis^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/Yakus_19.jpg),[tweet](https://twitter.com/Yakus/status/1329484837972013059) ,Europe,,,,
**07** ^Green^,**@BlandfordBread** ^Blandford Bread^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/BlandfordBread_07.png),[tweet](https://twitter.com/BlandfordBread/status/1324981495493255168) ,,,,,"QGIS, ArcGIS"
**15** ^Connections^,**@SannaJokela1** ^Sanna Jokela^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/SannaJokela1_15.jpg),[tweet](https://twitter.com/SannaJokela1/status/1327900821686792192) ,,,,,QGIS
**25** ^COVID-19^,**@est987** ^Eliav S-T^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/est987_25.jpg),[tweet](https://twitter.com/est987/status/1331673040174903298) ,,,,,
**30** ^A map^,**@MaelleAMM** ^maelle am^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/MaelleAMM_30.jpg),[tweet](https://twitter.com/MaelleAMM/status/1333476646561701903) ,Europe,,,,
**01** ^Points^,**@darwinanddavis** ^Matt Malishev^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/darwinanddavis_01.jpg),[tweet](https://twitter.com/darwinanddavis/status/1323216612615286785) [web](https://darwinanddavis.github.io/DataPortfolio/30daymapchallenge/#day-1-points),World,,personal,interactive,"R, Mapbox"
**12** ^Non-GIS^,**@x_y_es** ^X-Y.es^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/x_y_es_12.jpg),[tweet](https://twitter.com/x_y_es/status/1326998131683303426) ,Spain,Canary Islands,,,
**07** ^Green^,**@tjukanov** ^Topi Tjukanov^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/tjukanov_07.jpg),[tweet](https://twitter.com/tjukanov/status/1324993994800050176) ,World,,,,
**10** ^Grid^,**@MapsByAntonia** ^Antonia Blankenberg^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/MapsByAntonia_10.jpg),[tweet](https://twitter.com/MapsByAntonia/status/1326110109865566209) ,,,,,
**06** ^Red^,**@JulesGrandin** ^Jules Grandin^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/JulesGrandin_06.jpg),[tweet](https://twitter.com/JulesGrandin/status/1324648971709616129) ,,,,,
**30** ^A map^,**@1cartogRaph** ^Raphaël Bz^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/1cartogRaph_30.jpg),[tweet](https://twitter.com/1cartogRaph/status/1333523972219166722) ,Europe,,beer,,QGIS
**21** ^Water^,**@vlckel** ^Eliška Vlčková^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/vlckel_21.jpg),[tweet](https://twitter.com/vlckel/status/1330251678889676801) ,,,,,
**22** ^Movement^,**@fleischkas** ^Isaak^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/fleischkas_22.jpg),[tweet](https://twitter.com/fleischkas/status/1330565008762281985) ,,,,,
**07** ^Green^,**@BellMenna** ^Menna Bell^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/BellMenna_07.jpg),[tweet](https://twitter.com/BellMenna/status/1325270911604432896) ,,,,,QGIS
**19** ^NULL^,**@richard_vogg** ^Richard Vogg^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/richard_vogg_19.png),[tweet](https://twitter.com/richard_vogg/status/1329387874320519169) ,Germany,,,,R
**15** ^Connections^,**@AndrewRenninger** ^Andrew Renninger^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/AndrewRenninger_15.jpg),[tweet](https://twitter.com/AndrewRenninger/status/1327983825851461633) ,,,,,
**24** ^Elevation^,**@my_physical** ^MyPhysicalWorld^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/my_physical_24.jpg),[tweet](https://twitter.com/my_physical/status/1331215861793894402) ,,,,,
**02** ^Lines^,**@caitlanryan** ^Caitlan Dowling^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/caitlanryan_02.jpg),[tweet](https://twitter.com/caitlanryan/status/1328033837624946688) ,USA,,,,
**29** ^Globe^,**@gis3700** ^Vicky Verscheijden^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/gis3700_29.jpg),[tweet](https://twitter.com/gis3700/status/1332968727478996994) ,,,,,
**28** ^Non-geographic^,**@IKEDA_02** ^I.K.D^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/IKEDA_02_28.jpg),[tweet](https://twitter.com/IKEDA_02/status/1332673879517450241) ,,,,,
**14** ^Climate change^,**@MrNSheehan** ^Nathanael Sheehan^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/MrNSheehan_14.jpg),[tweet](https://twitter.com/MrNSheehan/status/1327673972356485120) ,,,,,
**21** ^Water^,**@my_physical** ^MyPhysicalWorld^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/my_physical_21.jpg),[tweet](https://twitter.com/my_physical/status/1330154664491442183) ,,,,,
**02** ^Lines^,**@vlckel** ^Eliška Vlčková^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/vlckel_02.jpg),[tweet](https://twitter.com/vlckel/status/1323183272218812416) ,,,,,
**16** ^Islands^,**@geocarta** ^SIG & Geomatique^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/geocarta_16.jpg),[tweet](https://twitter.com/geocarta/status/1328428122769911812) ,,,,,
**07** ^Green^,**@azzadv** ^Azzadv Sawungrana^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/azzadv_07.jpg),[tweet](https://twitter.com/azzadv/status/1325102836053520384) ,,,,,
**19** ^NULL^,**@popelnuhh** ^Zlata Popelnuh^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/popelnuhh_19.jpg),[tweet](https://twitter.com/popelnuhh/status/1329500309786402818) ,,,,,
**02** ^Lines^,**@sugoiboi40** ^Justin K^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/sugoiboi40_02.jpg),[tweet](https://twitter.com/sugoiboi40/status/1323505425807896576) ,,,,,
**16** ^Islands^,**@AnatZohar4** ^Anat Zohar^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/AnatZohar4_16.jpg),[tweet](https://twitter.com/AnatZohar4/status/1328528500328857601) ,,,,,
**03** ^Polygons^,**@Fuertebrazos** ^Dan Armstrong^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/Fuertebrazos_03.jpg),[tweet](https://twitter.com/Fuertebrazos/status/1323588132391034881) ,,,,,
**10** ^Grid^,**@_anirudhgovind** ^Anirudh^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/_anirudhgovind_10.png),[tweet](https://twitter.com/_anirudhgovind/status/1326160494160347137) ,India,Bangalore,,,R
**07** ^Green^,**@anlugonz** ^Ana Lucía González^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/anlugonz_07.jpg),[tweet](https://twitter.com/anlugonz/status/1325212786377564163) ,,,,,
**02** ^Lines^,**@DrNicNacks** ^Nic^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/DrNicNacks_02.jpg),[tweet](https://twitter.com/DrNicNacks/status/1323300642937516033) ,World,,,,
**04** ^Hexagons^,**@martinfernandoo** ^Martin^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/martinfernandoo_04.jpg),[tweet](https://twitter.com/martinfernandoo/status/1323959772195000320) ,,,,,QGIS
**01** ^Points^,**@EnriquePablito** ^Quique Montiel^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/EnriquePablito_01.jpg),[tweet](https://twitter.com/EnriquePablito/status/1323457929211711495) ,,,,,
**19** ^NULL^,**@napo** ^Maurizio Napolitano^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/napo_19.png),[tweet](https://twitter.com/napo/status/1329480364696498179) ,,,,,
**24** ^Elevation^,**@BrittLonneville** ^Britt Lonneville^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/BrittLonneville_24.png),[tweet](https://twitter.com/BrittLonneville/status/1331330822184562690) ,,,,,
**04** ^Hexagons^,**@rocasaja** ^Rocio Castillo-Aja^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/rocasaja_04.jpg),[tweet](https://twitter.com/rocasaja/status/1324146616564027392) ,,,,,
**08** ^Yellow^,**@Helenmckmck** ^Helen McKenzie^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/Helenmckmck_08.jpg),[tweet](https://twitter.com/Helenmckmck/status/1325481647094059008) ,,,,,QGIS
**02** ^Lines^,**@nodirections** ^Keith Hartley^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/nodirections_02.jpg),[tweet](https://twitter.com/nodirections/status/1325335998574653440) ,,,,joyplot,
**15** ^Connections^,**@ksituan** ^Alex McPhee^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/ksituan_15.jpg),[tweet](https://twitter.com/ksituan/status/1327992020099543043) ,Canada,,,,"QGIS, Inkscape"
**21** ^Water^,**@fleischkas** ^Isaak^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/fleischkas_21.jpg),[tweet](https://twitter.com/fleischkas/status/1330224540526522368) ,,,,,
**25** ^COVID-19^,**@emilmalta** ^Emil Malta ❄️^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/emilmalta_25.jpg),[tweet](https://twitter.com/emilmalta/status/1331957934029479937) ,,,,,
**20** ^Population^,**@Pow__C** ^Claire Powell^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/Pow__C_20.jpg),[tweet](https://twitter.com/Pow__C/status/1330928152110112774) ,,,,,
**10** ^Grid^,**@sixfootdestiny** ^James^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/sixfootdestiny_10.jpg),[tweet](https://twitter.com/sixfootdestiny/status/1326212495351148545) ,,,,,
**24** ^Elevation^,**@owenjpowell** ^Owen Powell^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/owenjpowell_24.jpg),[tweet](https://twitter.com/owenjpowell/status/1331156585624854528) [web](https://owenpowell.wordpress.com/30-day-map-challenge-2020/),,,,,
**10** ^Grid^,**@Yaireth_Ortiz** ^Yaireth Ortiz^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/Yaireth_Ortiz_10.jpg),[tweet](https://twitter.com/Yaireth_Ortiz/status/1326166660647104515) ,Mexico,"Guadalajara, Puerto Vallarta, Lagos de Moreno, Ciudad Guzmán",,,
**06** ^Red^,**@DatavizAdventuR** ^Dataviz Adventure^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/DatavizAdventuR_06.jpg),[tweet](https://twitter.com/DatavizAdventuR/status/1329180369631981572) ,Peru,,agriculture,cartogram,
**28** ^Non-geographic^,**@PratapVardhan** ^Pratap Vardhan^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/PratapVardhan_28.jpg),[tweet](https://twitter.com/PratapVardhan/status/1332896341593305089) ,,,,,
**01** ^Points^,**@viajeruss** ^rhabarbrr^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/viajeruss_01.jpg),[tweet](https://twitter.com/viajeruss/status/1323033972276830208) ,Peru,Lima,,,OpenStreetMap
**17** ^Historical^,**@redgeographics** ^Hans van der Maarel^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/redgeographics_17.png),[tweet](https://twitter.com/redgeographics/status/1328669195706490881) ,,,,,
**16** ^Islands^,**@pokateo_** ^Kate Berg^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/pokateo__16.jpg),[tweet](https://twitter.com/pokateo_/status/1328411017173413890) ,,,,,
**01** ^Points^,**@GeoDave5280** ^David Jenne^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/GeoDave5280_01.jpg),[tweet](https://twitter.com/GeoDave5280/status/1322924816907685888) ,,,,,
**19** ^NULL^,**@pivanputs** ^Paul I 🇺🇸🇩🇪^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/pivanputs_19.png),[tweet](https://twitter.com/pivanputs/status/1329367696891383808) ,,,,,
**29** ^Globe^,**@BBMountClub** ^Phil Tarr (BBMC)^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/BBMountClub_29.jpg),[tweet](https://twitter.com/BBMountClub/status/1333050915864137730) ,,,,,
**04** ^Hexagons^,**@brunmuska** ^Amish Sarpotdar^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/brunmuska_04.jpg),[tweet](https://twitter.com/brunmuska/status/1324093386245218306) ,,,,,
**13** ^Raster^,**@ErwanRivault** ^Erwan Rivault^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/ErwanRivault_13.jpg),[tweet](https://twitter.com/ErwanRivault/status/1327193938973876224) ,,,,,
**03** ^Polygons^,**@erin_caughey** ^Erin Caughey^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/erin_caughey_03.jpg),[tweet](https://twitter.com/erin_caughey/status/1323999052242051075) ,,,,,
**22** ^Movement^,**@sdbernard** ^Steven Bernard^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/sdbernard_22.jpg),[tweet](https://twitter.com/sdbernard/status/1330596642731552773) ,,,,,
**21** ^Water^,**@emu_info** ^Emu Analytics^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/emu_info_21.jpg),[tweet](https://twitter.com/emu_info/status/1330807310114054144) ,World,,,,
**24** ^Elevation^,**@hireuter** ^Hannes Reuter^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/hireuter_24.jpg),[tweet](https://twitter.com/hireuter/status/1331321691734208512) ,,,,,
**01** ^Points^,**@KeirClarke** ^Keir Clarke^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/KeirClarke_01.jpg),[tweet](https://twitter.com/KeirClarke/status/1322910324396351489) ,,,,,
**19** ^NULL^,**@cas_maps** ^Cas^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/cas_maps_19.jpg),[tweet](https://twitter.com/cas_maps/status/1329633640649781254) ,,,,,
**01** ^Points^,**@vtcraghead** ^Bill Morris^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/vtcraghead_01.jpg),[tweet](https://twitter.com/vtcraghead/status/1323086081642897408) ,,,,,
**16** ^Islands^,**@tgsousa_** ^torts^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/tgsousa__16.jpg),[tweet](https://twitter.com/tgsousa_/status/1328425672394616833) ,,,,,
**05** ^Blue^,**@jdeltoro1973** ^Yúum-K'aak-Náab^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/jdeltoro1973_05.jpg),[tweet](https://twitter.com/jdeltoro1973/status/1324605540123758592) ,,,,,
**16** ^Islands^,**@egrabska** ^Ewa Grabska^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/egrabska_16.jpg),[tweet](https://twitter.com/egrabska/status/1328410202555752448) ,,,,,ArcGIS
**12** ^Non-GIS^,**@adisadit** ^Adityo Dwijananto^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/adisadit_12.png),[tweet](https://twitter.com/adisadit/status/1326954607755493376) ,Indonesia,,elevation,,Excel
**07** ^Green^,**@simonmleech** ^Simon Leech^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/simonmleech_07.jpg),[tweet](https://twitter.com/simonmleech/status/1325015139280510976) ,,,,,QGIS
**18** ^Land use^,**@MikeMahoney218** ^Mike Mahoney^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/MikeMahoney218_18.png),[tweet](https://twitter.com/MikeMahoney218/status/1329062805799100421) ,USA,,land use,,QGIS
**20** ^Population^,**@samwise_v** ^Sam J^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/samwise_v_20.jpg),[tweet](https://twitter.com/samwise_v/status/1329775527448731650) ,UK,London,population,charts,"QGIS, Aerialod"
**04** ^Hexagons^,**@ReynardSubtil** ^David Fox^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/ReynardSubtil_04.jpg),[tweet](https://twitter.com/ReynardSubtil/status/1324183640822206468) ,,,,,
**21** ^Water^,**@zinnie__A** ^Zainab Adamu^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/zinnie__A_21.jpg),[tweet](https://twitter.com/zinnie__A/status/1330233567901835264) ,,,,,
**04** ^Hexagons^,**@ultra_beba** ^Quicque Rivera^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/ultra_beba_04.jpg),[tweet](https://twitter.com/ultra_beba/status/1324201175563067393) ,,,,,QGIS
**17** ^Historical^,**@akadouri** ^Ariel Kadouri^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/akadouri_17.jpg),[tweet](https://twitter.com/akadouri/status/1328932328903729154) ,,,,,
**07** ^Green^,**@allixender** ^Alexander Kmoch^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/allixender_07.jpg),[tweet](https://twitter.com/allixender/status/1325115062160420865) [web](https://allixender.github.io/30MapChallenge2020/day-07.html),,,,,Python
**23** ^Boundaries^,**@PratapVardhan** ^Pratap Vardhan^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/PratapVardhan_23.jpg),[tweet](https://twitter.com/PratapVardhan/status/1331077242957541377) ,India,,,,
**17** ^Historical^,**@ElXapla11** ^Patobola^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/ElXapla11_17.png),[tweet](https://twitter.com/ElXapla11/status/1330119038685618182) ,South America,,,,
**24** ^Elevation^,**@MartinBangratz** ^Unnecessarily sesquipedalian 🚡^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/MartinBangratz_24.jpg),[tweet](https://twitter.com/MartinBangratz/status/1331548174310383617) ,,,,,
**14** ^Climate change^,**@MartinBangratz** ^Unnecessarily sesquipedalian 🚡^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/MartinBangratz_14.jpg),[tweet](https://twitter.com/MartinBangratz/status/1328450412408659968) ,,,,,QGIS
**13** ^Raster^,**@dgplacenames** ^D&G place-names^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/dgplacenames_13.jpg),[tweet](https://twitter.com/dgplacenames/status/1327400700129779713) ,,,,,QGIS
**02** ^Lines^,**@_kyliejane** ^Kylie Wilson^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/_kyliejane_02.jpg),[tweet](https://twitter.com/_kyliejane/status/1323920600948039680) ,Japan,Tokyo,,,QGIS
**09** ^Monochrome^,**@jgoodyear9** ^James Goodyear^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/jgoodyear9_09.jpg),[tweet](https://twitter.com/jgoodyear9/status/1325719229103017984) ,,,,,
**12** ^Non-GIS^,**@JulienQuotidien** ^Julien^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/JulienQuotidien_12.jpg),[tweet](https://twitter.com/JulienQuotidien/status/1326919693144371201) ,,,,,
**02** ^Lines^,**@FrancescaPontin** ^Francesca Pontin^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/FrancescaPontin_02.png),[tweet](https://twitter.com/FrancescaPontin/status/1323676895456731137) ,,,,,
**04** ^Hexagons^,**@MaelleAMM** ^maelle am^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/MaelleAMM_04.jpg),[tweet](https://twitter.com/MaelleAMM/status/1324040701814910979) ,,,,,QGIS
**10** ^Grid^,**@dic1991** ^Daniel Ibáñez Campos^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/dic1991_10.jpg),[tweet](https://twitter.com/dic1991/status/1326278454237605894) ,,,,,
**29** ^Globe^,**@Peterincan** ^Peter Atwood^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/Peterincan_29.jpg),[tweet](https://twitter.com/Peterincan/status/1333091218692116481) ,World,,,,
**11** ^3D^,**@MikeCoatsDotCom** ^Mike Coats^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/MikeCoatsDotCom_11.jpg),[tweet](https://twitter.com/MikeCoatsDotCom/status/1326636681190105089) ,,,,,
**01** ^Points^,**@PhilPierdo** ^Philip Pierdomenico^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/PhilPierdo_01.jpg),[tweet](https://twitter.com/PhilPierdo/status/1322948275222335490) ,,,,,
**21** ^Water^,**@pinakographos** ^Daniel P. Huffman^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/pinakographos_21.jpg),[tweet](https://twitter.com/pinakographos/status/1330209365048102912) ,,,,,
**13** ^Raster^,**@sarah_wilson7** ^Sarah Wilson^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/sarah_wilson7_13.jpg),[tweet](https://twitter.com/sarah_wilson7/status/1327292092146651139) ,,,,,
**07** ^Green^,**@JoeWDavies** ^Joe Davies^,![Map](https://david.frigge.nz/30DayMapChallenge2020/thumbnails/JoeWDavies_07.jpg),[tweet](https://twitter.com/JoeWDavies/status/1325189738966511616) ,,,,,
